canonical_name,cpt_code,code_system,category,cost_tier,aliases
Fasting Glucose,82947,CPT,Laboratory,LOW,"fasting glucose,fasting blood glucose,fbg,fasting plasma glucose,fpg"
HbA1c,83036,CPT,Laboratory,LOW,"hba1c,glycated hemoglobin,a1c,hemoglobin a1c,glycosylated hemoglobin"
C-Reactive Protein,86140,CPT,Laboratory,LOW,"crp,c-reactive protein,hs-crp,high-sensitivity crp"
# ===========================================================================
# LABORATORY — ENDOCRINE / HORMONE
# ===========================================================================
Thyroid Function Tests,84443,CPT,Laboratory,LOW,"thyroid function,tft,tfts,tsh,thyroid panel,free t4,ft4,t3"
Testosterone,84403,CPT,Laboratory,LOW,"testosterone,total testosterone,free testosterone,serum testosterone"
Cortisol,82533,CPT,Laboratory,LOW,"cortisol,serum cortisol,am cortisol,morning cortisol"
Insulin Level,83525,CPT,Laboratory,LOW,"insulin,fasting insulin,insulin level,serum insulin"
FSH/LH,83001,CPT,Laboratory,LOW,"fsh,lh,fsh/lh,follicle stimulating hormone,luteinizing hormone,gonadotropins"
# ===========================================================================
# LABORATORY — URINALYSIS / SPECIAL
# ===========================================================================
Urinalysis,81003,CPT,Laboratory,LOW,"urinalysis,ua,urine analysis,urine dipstick,urine test"
Pregnancy Test,81025,CPT,Laboratory,LOW,"pregnancy test,serum pregnancy,urine pregnancy,bhcg,b-hcg,hcg,serum hcg,urine hcg,pregnancy test (serum),pregnancy test (urine)"
Drug Screen,,,Laboratory,LOW,"drug screen,urine drug screen,uds,drug of abuse screen,toxicology screen"
Urine Protein-to-Creatinine Ratio,84156,CPT,Laboratory,LOW,"upcr,urine protein,urine protein-to-creatinine,spot urine protein"
24-Hour Urine Collection,81050,CPT,Laboratory,MEDIUM,"24-hour urine,24h urine,24 hour urine collection,timed urine collection"
# ===========================================================================
# LABORATORY — SEROLOGY / VIROLOGY
# ===========================================================================
Hepatitis Panel,86709,CPT,Laboratory,LOW,"hepatitis panel,hep panel,hepatitis b,hepatitis c,hbsag,anti-hcv,hbv,hcv,hepatitis serology"
HIV Test,86701,CPT,Laboratory,LOW,"hiv test,hiv screening,hiv antibody,hiv-1/2,hiv serology"
Viral Load,,,Laboratory,MEDIUM,"viral load,hiv viral load,hbv dna,hcv rna,pcr viral load"
CD4 Count,86359,CPT,Laboratory,LOW,"cd4,cd4 count,cd4+ t-cell,cd4 cell count,t-cell subset"
# ===========================================================================
# LABORATORY — TUMOR MARKERS / BIOMARKERS
# ===========================================================================
PSA,84153,CPT,Laboratory,LOW,"psa,prostate specific antigen,total psa"
CA-125,86304,CPT,Laboratory,LOW,"ca-125,ca125,cancer antigen 125"
CEA,82378,CPT,Laboratory,LOW,"cea,carcinoembryonic antigen"
AFP,82105,CPT,Laboratory,LOW,"afp,alpha-fetoprotein"
NT-proBNP,83880,CPT,Laboratory,LOW,"nt-probnp,nt pro-bnp,n-terminal pro-bnp,brain natriuretic peptide,bnp"
Troponin,84484,CPT,Laboratory,LOW,"troponin,troponin i,troponin t,hs-troponin,high-sensitivity troponin"
CK/CPK,82550,CPT,Laboratory,LOW,"ck,cpk,creatine kinase,creatine phosphokinase"
LDH,83615,CPT,Laboratory,LOW,"ldh,lactate dehydrogenase"
Calprotectin,83993,CPT,Laboratory,LOW,"calprotectin,fecal calprotectin,stool calprotectin"
ctDNA,,,Laboratory,HIGH,"ctdna,circulating tumor dna,cell-free dna,cfdna,liquid biopsy"
# ===========================================================================
# LABORATORY — PK/PD SAMPLES
# ===========================================================================
Blood Draw/Phlebotomy,,,Laboratory,LOW,"blood draw,blood sample,phlebotomy,venipuncture,blood collection,venous blood draw"
PK Sample,,,PK,LOW,"pk sample,pharmacokinetic sample,pk blood sample,pk sampling,pk blood draw"
PK Sample (Dense),,,PK,MEDIUM,"dense pk,dense pk sampling,dense pharmacokinetic,intensive pk,serial pk"
PK Sample (Sparse/Trough),,,PK,LOW,"sparse pk,pk trough,trough sample,trough level,ctrough,pre-dose pk,pre-dose sample,trough pk"
PD Sample,,,PK,LOW,"pd sample,pharmacodynamic sample,pd biomarker"
Immunogenicity Sample,,,PK,LOW,"immunogenicity,ada,anti-drug antibody,ada sample,immunogenicity sample,anti-drug antibody sample"
Biomarker Sample,,,Laboratory,MEDIUM,"biomarker,biomarker sample,exploratory biomarker,translational biomarker"
# ===========================================================================
# IMAGING
# ===========================================================================
MRI,70553,CPT,Imaging,HIGH,"mri,magnetic resonance imaging,mri scan,brain mri,abdominal mri,pelvic mri"
CT Scan,74178,CPT,Imaging,HIGH,"ct scan,ct,computed tomography,cat scan,ct chest/abdomen/pelvis,ct c/a/p"
X-Ray,71046,CPT,Imaging,MEDIUM,"x-ray,xray,radiograph,chest x-ray,cxr,chest radiograph"
PET/CT Scan,78816,CPT,Imaging,VERY_HIGH,"pet/ct,pet scan,pet/ct scan,pet-ct,positron emission tomography,fdg-pet"
DEXA Scan,77080,CPT,Imaging,MEDIUM,"dexa,dxa,bone density,dexa scan,bone densitometry"
Ultrasound,76700,CPT,Imaging,MEDIUM,"ultrasound,us,sonography,doppler,abdominal ultrasound"
Bone Scan,78300,CPT,Imaging,HIGH,"bone scan,bone scintigraphy,technetium bone scan,skeletal scintigraphy"
Mammography,77067,CPT,Imaging,MEDIUM,"mammogram,mammography,bilateral mammogram"
# ===========================================================================
# PROCEDURES
# ===========================================================================
Tumor Biopsy,20206,CPT,Procedure,VERY_HIGH,"tumor biopsy,biopsy,tissue biopsy,core biopsy,skin biopsy,punch biopsy,core needle biopsy,fresh biopsy,archival biopsy,tumor tissue collection"
Bone Marrow Biopsy,38221,CPT,Procedure,VERY_HIGH,"bone marrow biopsy,bone marrow aspirate,bma,bone marrow aspirate and biopsy"
Lumbar Puncture,62270,CPT,Procedure,VERY_HIGH,"lumbar puncture,lp,spinal tap,csf collection,cerebrospinal fluid"
Spirometry,94010,CPT,Respiratory,MEDIUM,"spirometry,pulmonary function,pft,lung function,pulmonary function test,fev1,fvc"
FeNO Measurement,95012,CPT,Respiratory,MEDIUM,"feno,fractional exhaled nitric oxide,exhaled no"
Bronchoscopy,31622,CPT,Procedure,VERY_HIGH,"bronchoscopy,bronchial biopsy,bal,bronchoalveolar lavage"
Endoscopy,43239,CPT,Procedure,VERY_HIGH,"endoscopy,upper endoscopy,colonoscopy,egd,esophagogastroduodenoscopy,flexible sigmoidoscopy"
Skin Punch Biopsy,11104,CPT,Procedure,HIGH,"skin punch biopsy,punch biopsy,4mm punch,skin biopsy"
# ===========================================================================
# OPHTHALMOLOGY
# ===========================================================================
BCVA Assessment,92015,CPT,Ophthalmology,MEDIUM,"bcva,best corrected visual acuity,visual acuity,etdrs,snellen"
OCT Scan,92134,CPT,Ophthalmology,MEDIUM,"oct,optical coherence tomography,retinal oct,macular oct"
Intravitreal Injection,67028,CPT,Ophthalmology,HIGH,"intravitreal injection,ivt,intravitreal,ivt injection"
IOP Measurement,92100,CPT,Ophthalmology,LOW,"iop,intraocular pressure,tonometry,iop measurement"
Fundoscopy,92250,CPT,Ophthalmology,MEDIUM,"fundoscopy,fundus exam,fundus photography,dilated fundus exam,ophthalmoscopy"
Slit Lamp Exam,92012,CPT,Ophthalmology,LOW,"slit lamp,slit lamp examination,slit lamp exam,anterior segment exam"
# ===========================================================================
# QUESTIONNAIRES / PATIENT-REPORTED OUTCOMES
# ===========================================================================
Quality of Life Questionnaire,,,PRO,LOW,"qol,quality of life,eq-5d,eq5d,sf-36,sf36,whoqol"
Pain Assessment,,,PRO,LOW,"pain assessment,vas,visual analog scale,nrs,numeric rating scale,pain score,pain nrs"
ECOG Performance Status,,,Efficacy,LOW,"ecog,ecog ps,ecog performance status,performance status,ecog score,karnofsky"
RECIST Assessment,,,Efficacy,MEDIUM,"recist,tumor assessment,response assessment,recist 1.1,recist evaluation,tumor response"
NYHA Classification,,,Efficacy,LOW,"nyha,nyha class,nyha classification,nyha functional class,new york heart association"
KCCQ (Kansas City Cardiomyopathy),,,Efficacy,LOW,"kccq,kansas city cardiomyopathy questionnaire,kccq-12,kccq-os,kccq-tss"
6-Minute Walk Test,,,Efficacy,MEDIUM,"6mwt,6-minute walk test,6mwd,6 minute walk distance,6-minute walk distance,six minute walk"
DAS28,,,Efficacy,LOW,"das28,disease activity score,das28-crp,das28-esr,das 28"
ACR Response (ACR20/50/70),,,Efficacy,LOW,"acr20,acr50,acr70,acr20/50/70,acr response,american college of rheumatology"
HAQ-DI,,,Efficacy,LOW,"haq-di,haq,health assessment questionnaire,haq disability index"
PASI Score,,,Efficacy,LOW,"pasi,pasi 75,pasi 90,pasi 100,psoriasis area severity index,pasi score"
IGA Score,,,Efficacy,LOW,"iga,investigator global assessment,iga score,iga 0/1"
EASI Score,,,Efficacy,LOW,"easi,eczema area and severity index,easi score,easi-50,easi-75"
Pruritus NRS,,,Efficacy,LOW,"pruritus nrs,itch nrs,pruritus numeric rating scale,peak pruritus nrs"
MADRS,,,Efficacy,LOW,"madrs,montgomery-asberg depression rating scale,madrs total score"
PHQ-9,,,Efficacy,LOW,"phq-9,phq9,patient health questionnaire,phq-9 score"
CGI-S,,,Efficacy,LOW,"cgi-s,clinical global impression,cgi-s score,cgi severity"
SGRQ,,,Efficacy,LOW,"sgrq,st george's respiratory questionnaire,sgrq score,sgrq total"
ACQ,,,Efficacy,LOW,"acq,asthma control questionnaire,acq-5,acq-6,acq-7"
CDAI,,,Efficacy,LOW,"cdai,clinical disease activity index,cdai score"
Modified Mayo Score,,,Efficacy,LOW,"modified mayo,mayo score,modified mayo score,partial mayo,mayo subscore"
Columbia Suicide Severity Rating,,,Efficacy,LOW,"c-ssrs,columbia suicide,cssrs,columbia suicide severity rating scale,suicidality assessment"
# ===========================================================================
# STUDY DRUG
# ===========================================================================
Study Drug Administration,,,Treatment,MEDIUM,"study drug,ip administration,investigational product,drug administration,dosing,study drug administration,imp administration,study treatment"
Concomitant Medications Review,,,General,LOW,"concomitant medications,con meds,conmeds,prior/concomitant medications,medications review,prior medications,concomitant medication review"
Adverse Event Assessment,,,General,LOW,"adverse events,ae,aes,ae assessment,adverse event assessment,adverse event review,safety assessment"
Drug Accountability,,,General,LOW,"drug accountability,medication accountability,pill count,drug reconciliation,ip accountability"
Compliance Assessment,,,General,LOW,"compliance,adherence,medication compliance,treatment compliance,drug compliance,medication adherence"
# ===========================================================================
# GENETIC / SPECIALIZED
# ===========================================================================
Genetic Testing,81479,CPT,Genetics,VERY_HIGH,"genetic testing,genomic testing,genotyping,pharmacogenomics,dna sequencing,ngs,next-generation sequencing,whole exome"
Flow Cytometry,88182,CPT,Laboratory,HIGH,"flow cytometry,facs,immunophenotyping,flow cytometric analysis"
Bone Marrow MRD,81479,CPT,Laboratory,VERY_HIGH,"mrd,minimal residual disease,mrd assessment,measurable residual disease"
HLA Typing,81370,CPT,Laboratory,HIGH,"hla typing,hla,human leukocyte antigen,tissue typing"
Karyotype,88262,CPT,Laboratory,HIGH,"karyotype,cytogenetics,chromosome analysis,fish"
Anti-AAV Antibody,,,Laboratory,HIGH,"anti-aav,anti-aav antibody,anti-aav9,aav antibody,pre-existing antibody"
# ===========================================================================
# VACCINE-SPECIFIC
# ===========================================================================
Vaccination,,,Treatment,MEDIUM,"vaccination,vaccine administration,immunization,vaccine dose,dose 1,dose 2,booster"
Reactogenicity Assessment,,,Safety,LOW,"reactogenicity,solicited adverse events,solicited ae,local reactions,systemic reactions,reactogenicity assessment"
Serology/Antibody Titer,,,Laboratory,MEDIUM,"serology,antibody titer,neutralizing antibody,nab,binding antibody,igg titer,gmt,geometric mean titer,seroconversion"
e-Diary,,,PRO,LOW,"e-diary,ediary,electronic diary,patient diary,daily diary"
Telephone Contact,,,General,LOW,"telephone contact,phone contact,phone call,telephone visit,phone visit"
# ===========================================================================
# ONCOLOGY-SPECIFIC
# ===========================================================================
ECOG Performance Status,,,Efficacy,LOW,"ecog,ecog ps,performance status"
Tumor Marker Assessment,,,Laboratory,LOW,"tumor marker,tumor markers,serum tumor markers"
Dose Modification Assessment,,,Treatment,LOW,"dose modification,dose reduction,dose adjustment,dose delay assessment"
DLT Assessment,,,Safety,LOW,"dlt,dose limiting toxicity,dlt assessment,dlt evaluation"
Response Assessment,,,Efficacy,MEDIUM,"response assessment,tumor response,disease assessment,restaging"
Disease Progression Assessment,,,Efficacy,LOW,"disease progression,pd assessment,progressive disease assessment"
# ===========================================================================
# ONCOLOGY — EXPANDED (from domain research)
# ===========================================================================
PD-L1 IHC,88360,CPT,Oncology,MEDIUM,"pd-l1,pd-l1 ihc,immunohistochemistry,companion diagnostic,22c3,sp263,pd-l1 expression"
NGS Panel (5-50 genes),81445,CPT,Genetics,VERY_HIGH,"ngs panel,next-generation sequencing panel,molecular panel,tumor profiling,f1cdx,foundationone"
NGS Panel (51+ genes),81455,CPT,Genetics,VERY_HIGH,"comprehensive genomic profiling,cgp,expanded ngs,foundation medicine,whole exome"
Serum Pregnancy Test (Quantitative),84703,CPT,Laboratory,LOW,"serum hcg,beta-hcg,quantitative pregnancy,serum pregnancy test,quantitative hcg"
Venipuncture,36415,CPT,Laboratory,LOW,"venipuncture,blood draw procedure,phlebotomy procedure"
# ===========================================================================
# HEMATOLOGY — EXPANDED
# ===========================================================================
Bone Marrow Aspirate,38220,CPT,Procedure,MEDIUM,"bone marrow aspirate,bm aspirate,marrow aspirate"
"Bone Marrow Biopsy and Aspirate",38222,CPT,Procedure,VERY_HIGH,"bone marrow biopsy and aspirate,bm bx and asp,trephine biopsy,bone marrow biopsy"
MRD by Flow Cytometry,88184,CPT,Laboratory,HIGH,"mrd flow,mrd by flow,minimal residual disease flow"
MRD by NGS (clonoSEQ),81479,CPT,Laboratory,VERY_HIGH,"mrd ngs,clonoseq,molecular mrd,ngs mrd"
SPEP,86316,CPT,Laboratory,MEDIUM,"spep,serum protein electrophoresis,m-spike,serum electrophoresis"
Immunofixation Electrophoresis,86334,CPT,Laboratory,MEDIUM,"ife,immunofixation,serum ife,immunofixation electrophoresis"
Free Light Chains,83883,CPT,Laboratory,MEDIUM,"flc,free light chains,sflc,kappa/lambda ratio,free lights"
Serum Ferritin,82728,CPT,Laboratory,LOW,"ferritin,serum ferritin,iron stores"
IL-6,83519,CPT,Laboratory,MEDIUM,"il-6,interleukin-6,interleukin 6"
Cytokine Panel,83519,CPT,Laboratory,HIGH,"cytokine panel,cytokine storm panel,inflammatory panel,luminex,multiplex cytokine"
# ===========================================================================
# CARDIOLOGY — EXPANDED
# ===========================================================================
Right Heart Catheterization,93451,CPT,Cardiac,VERY_HIGH,"rhc,right heart cath,right heart catheterization,swan-ganz,hemodynamics,invasive hemodynamics"
24-Hour Ambulatory BP Monitoring,93784,CPT,Cardiac,MEDIUM,"abpm,ambulatory bp,24h bp monitoring,ambulatory blood pressure"
Cardiac MRI with Contrast,75561,CPT,Cardiac,VERY_HIGH,"cmr with gad,cardiac mri w/contrast,lge mri,cardiac mri with gadolinium"
Cardiac MRI with Stress,75563,CPT,Cardiac,VERY_HIGH,"stress cmr,dobutamine cmr,stress cardiac mri"
hs-CRP,86141,CPT,Laboratory,LOW,"hs-crp,high-sensitivity crp,cardiac crp"
# ===========================================================================
# NEUROLOGY — EXPANDED
# ===========================================================================
Brain MRI without Contrast,70551,CPT,Imaging,HIGH,"brain mri w/o,non-contrast mri head,brain mri without contrast"
Brain MRI with/without Contrast,70553,CPT,Imaging,HIGH,"brain mri,cranial mri,head mri,neuroimaging,brain mri with and without contrast"
Routine EEG,95816,CPT,Neurology,MEDIUM,"eeg,routine eeg,standard eeg,brain wave test,electroencephalogram"
Video EEG Monitoring,95711,CPT,Neurology,HIGH,"veeg,video eeg,eeg monitoring,emu monitoring"
Neuropsychological Testing,96132,CPT,Neurology,HIGH,"np testing,neuropsych,cognitive testing,neurocog battery,neuropsychological assessment"
Amyloid PET,78608,CPT,Imaging,VERY_HIGH,"amyloid pet,florbetapir pet,amyloid imaging,amyloid pet scan"
Volumetric Brain MRI,0865T,CPT,Imaging,HIGH,"volumetric mri,brain volumetrics,neuroquant"
MoCA,96127,CPT,Neurology,LOW,"moca,montreal cognitive assessment,cognitive screen"
Nerve Conduction Studies,95907,CPT,Neurology,MEDIUM,"ncs,nerve conduction,emg/ncs"
EMG,95860,CPT,Neurology,MEDIUM,"emg,needle emg,electromyography"
# ===========================================================================
# DERMATOLOGY — EXPANDED
# ===========================================================================
SCORAD Assessment,,,Efficacy,LOW,"scorad,scoring atopic dermatitis,scorad score"
DLQI,,,Efficacy,LOW,"dlqi,dermatology life quality index,dermatology qol"
Clinical Photography,96904,CPT,Imaging,MEDIUM,"clinical photography,total body photography,clinical photos,standardized photography,lesion photos"
TB Screening (QuantiFERON),86480,CPT,Laboratory,MEDIUM,"tb test,qft,quantiferon,igra,tb gold,tuberculosis screening"
Skin Shave Biopsy,11102,CPT,Procedure,MEDIUM,"shave biopsy,shave bx,tangential biopsy,skin shave"
# ===========================================================================
# OPHTHALMOLOGY — EXPANDED
# ===========================================================================
Fluorescein Angiography,92235,CPT,Ophthalmology,MEDIUM,"fa,ffa,fluorescein angio,angiography,fluorescein angiography"
ICG Angiography,92240,CPT,Ophthalmology,MEDIUM,"icg,icga,icg angio,indocyanine green angiography"
Visual Field Testing,92083,CPT,Ophthalmology,MEDIUM,"vf,humphrey vf,perimetry,automated perimetry,hvf,visual field"
OCT Angiography,92242,CPT,Ophthalmology,MEDIUM,"octa,oct-a,oct angiography"
Electroretinography,92273,CPT,Ophthalmology,MEDIUM,"erg,fferg,full-field erg,electroretinogram"
Corneal Pachymetry,76514,CPT,Ophthalmology,LOW,"pachymetry,corneal thickness,cct"
Comprehensive Eye Exam (New),92004,CPT,Ophthalmology,MEDIUM,"comprehensive eye exam,complete eye exam new patient"
Comprehensive Eye Exam (Established),92014,CPT,Ophthalmology,MEDIUM,"comprehensive eye exam,complete eye exam,follow-up eye exam"
# ===========================================================================
# VACCINES — EXPANDED
# ===========================================================================
T-Cell Immune Response (ELISPOT),86353,CPT,Laboratory,HIGH,"elispot,cellular immunity,t-cell assay,cmi,ics,intracellular cytokine staining"
Vaccine Administration,90471,CPT,Treatment,LOW,"vaccine admin,injection administration,im injection"
Post-Dose Observation,,,Safety,LOW,"post-dose observation,30-minute observation,acute reaction monitoring,post-injection observation"
Injection Site Assessment,,,Safety,LOW,"injection site,local reactions,injection site exam,isr,local reaction assessment"
Seroconversion Assessment,,,Efficacy,LOW,"seroconversion,seroresponse,seroconversion rate,seroconversion assessment"
# ===========================================================================
# ADDITIONAL PROCEDURES (from protocol analysis)
# ===========================================================================
Nasal Swab,87635,CPT,Laboratory,LOW,"nasal swab,nasal sample,nasal midturbinate,midturbinate swab,nasopharyngeal swab,np swab,nasal specimen"
Post-Dose Observation,,,Safety,LOW,"post-dose observation,30-minute observation,acute reaction monitoring,post-injection observation,assess acute reactions"
